ticker|name|ccy|sheetPrice|targetEntry|targetExit
WWR|Westwater Resources Inc|USD|0.39|1|
UMAC|Unusual Machines Inc|USD|19.09|15|
RKLB|Rocket Lab Corp|USD|64.03|50|
KLAR|Klarna Group PLC|USD|17.72|10|
LON:WPP|WPP PLC|GBX|284.4|270|
RBRK|Rubrik Inc|USD|73.61|20|
HOOD|Robinhood Markets Inc|USD|93.2|40|
LON:ANTO|Antofagasta plc|GBX|3533|2500|
FCX|Freeport-McMoRan Inc|USD|61.18|50|
SCCO|Southern Copper Corp|USD|173.83|100|
LON:FUTR|Future plc|GBX|290.2|300|
LON:CAML|Central Asia Metals PLC|GBX|148|150|
GTLB|Gitlab Inc|USD|31.83|20|
REI|Ring Energy Inc|USD|1.17|1.5|
EONR|EON Resources Inc|USD|0.53|0.5|
EPA:RMS|Hermes International SCA|EUR|1658.5|1000|
IT|Gartner Inc|USD|143.2|150|
BIRD|Smartbird Inc|USD|2.45|10|
LON:SML|Strategic Minerals PLC|GBX|3.5|2.5|
PHM|Pultegroup Inc|USD|128.6|80|
TBLA|Taboola.com Ltd|USD|4.87|3|
PNR|Pentair PLC|USD|63.42|100|
XYL|Xylem Inc|USD|119.96|70|
ON|ON Semiconductor Corp|USD|84.58|80|
APTV|Aptiv PLC|USD|56.37|60|
FABC|Fabric.AI  Inc|USD|2.34|3|
REAL|RealReal Inc|USD|11.29|5|
MCD|McDonald's Corp|USD|266.8|150|
